anio,provincia,sexo,grupo_edad,poblacion
2019,tungurahua,Hombre,65+,22843
2019,tungurahua,Mujer,0-14,72698
2019,tungurahua,Mujer,15-19,24259
2019,tungurahua,Mujer,20-29,49359
2019,tungurahua,Mujer,30-44,62151
2019,tungurahua,Mujer,45-64,53959
2019,tungurahua,Mujer,65+,27523
2019,zamora,Hombre,0-14,18235
2019,zamora,Hombre,15-19,5901
2019,zamora,Hombre,20-29,10938
2019,zamora,Hombre,30-44,9885
2019,zamora,Hombre,45-64,7767
2019,zamora,Hombre,65+,3911
2019,zamora,Mujer,0-14,17590
2019,zamora,Mujer,15-19,6000
2019,zamora,Mujer,20-29,11543
2019,zamora,Mujer,30-44,9648
2019,zamora,Mujer,45-64,6415
2019,zamora,Mujer,65+,3467
2020,azuay,Hombre,0-14,111012
2020,azuay,Hombre,15-19,35275
2020,azuay,Hombre,20-29,72552
2020,azuay,Hombre,30-44,85611
2020,azuay,Hombre,45-64,56966
2020,azuay,Hombre,65+,28316
2020,azuay,Mujer,0-14,107260
2020,azuay,Mujer,15-19,35083
2020,azuay,Mujer,20-29,74323
2020,azuay,Mujer,30-44,92546
2020,azuay,Mujer,45-64,79218
2020,azuay,Mujer,65+,47428
2020,bolivar,Hombre,0-14,29726
2020,bolivar,Hombre,15-19,10633
2020,bolivar,Hombre,20-29,18295
2020,bolivar,Hombre,30-44,18594
2020,bolivar,Hombre,45-64,15119
2020,bolivar,Hombre,65+,10667
2020,bolivar,Mujer,0-14,28237
2020,bolivar,Mujer,15-19,10116
2020,bolivar,Mujer,20-29,17588
2020,bolivar,Mujer,30-44,19736
2020,bolivar,Mujer,45-64,17424
2020,bolivar,Mujer,65+,11791
2020,carchi,Hombre,0-14,24096
2020,carchi,Hombre,15-19,8126
2020,carchi,Hombre,20-29,16654
2020,carchi,Hombre,30-44,19508
2020,carchi,Hombre,45-64,14437
2020,carchi,Hombre,65+,8352
2020,carchi,Mujer,0-14,22801
2020,carchi,Mujer,15-19,7575
2020,carchi,Mujer,20-29,15480
2020,carchi,Mujer,30-44,19169
2020,carchi,Mujer,45-64,17159
2020,carchi,Mujer,65+,10246
2020,cañar,Hombre,0-14,37720
2020,cañar,Hombre,15-19,10455
2020,cañar,Hombre,20-29,18663
2020,cañar,Hombre,30-44,18187
2020,cañar,Hombre,45-64,15776
2020,cañar,Hombre,65+,10583
2020,cañar,Mujer,0-14,35955
2020,cañar,Mujer,15-19,10263
2020,cañar,Mujer,20-29,19414
2020,cañar,Mujer,30-44,24398
2020,cañar,Mujer,45-64,23366
2020,cañar,Mujer,65+,13240
2020,chimborazo,Hombre,0-14,67199
2020,chimborazo,Hombre,15-19,23654
2020,chimborazo,Hombre,20-29,44540
2020,chimborazo,Hombre,30-44,45187
2020,chimborazo,Hombre,45-64,38809
2020,chimborazo,Hombre,65+,23949
2020,chimborazo,Mujer,0-14,63920
2020,chimborazo,Mujer,15-19,22497
2020,chimborazo,Mujer,20-29,43026
2020,chimborazo,Mujer,30-44,47904
